,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(1, 1)",0.0,0.0,0.0,0.0,0.05904900000000001
"(1, 2)",0.0,0.0,0.0,-1.2000000000000002,1.9800000000000002
"(1, 3)",0.0,0.0,0.0,-2.1,0.0
"(2, 1)",0.0,0.0,0.6000000000000001,0.0,0.0
"(2, 2)",0.0,0.6000000000000001,0.0,0.0,0.0
"(2, 3)",0.0,-1.5,0.0,0.0,0.0
"(3, 1)",0.30000000000000004,0.0,0.0,0.0,0.0
"(4, 1)",-0.9,0.0,0.0,0.0,0.0
"(5, 1)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(6, 1)",0.0,-1.2000000000000002,0.0,0.0,0.0
"(6, 2)",0.0,-0.6000000000000001,0.0,0.0,-0.6000000000000001
"(6, 3)",0.0,0.0,0.0,0.0,0.30000000000000004
"(7, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,0.0,0.0,0.0,0.6000000000000001
"(1, 5)",0.0,-1.5,0.0,0.0,0.0
"(2, 4)",0.0,0.0,0.0,0.0,-0.9
"(8, 1)",0.0,0.0,-1.8,1.8,0.0
"(8, 2)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(8, 3)",0.9,0.0,0.0,0.0,0.0
"(9, 1)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(5, 2)",0.0,0.0,0.0,0.0,-0.9
"(6, 4)",0.0,0.0,0.0,-0.6000000000000001,0.05999999999999994
"(6, 5)",-1.2000000000000002,0.29460000000000003,-0.6000000000000001,0.0,-0.30000000000000004
"(7, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 6)",0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.6000000000000001,0.0,-1.2000000000000002,0.0,0.0
"(1, 8)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(8, 4)",0.0,1.2000000000000002,0.0,0.0,0.0
"(8, 5)",-1.2000000000000002,0.0,0.0,0.0,0.0
"(8, 6)",0.0,0.0,0.0,0.0,0.6000000000000001
"(5, 3)",0.0,0.0,1.6800000000000002,-0.492,0.0
"(5, 4)",0.0,0.0,0.0,0.0,0.0
"(5, 5)",0.0,0.0,0.0,0.0,0.9
"(10, 1)",0.0,0.0,0.0,-0.546,1.7400000000000002
"(10, 2)",0.0,0.0,0.9,-0.30000000000000004,0.0
"(11, 1)",0.0,0.0,0.0,0.0,0.0
"(11, 2)",0.0,0.8400000000000001,0.0,-0.6000000000000001,0.0
"(11, 3)",0.0,0.0,0.0,0.30000000000000004,0.0
"(12, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.81,0.0,0.0,-1.2000000000000002,0.0
"(13, 1)",0.0,0.0,0.9,0.0,0.0
"(8, 7)",0.0,0.0,0.7199999999999998,0.0,0.0
"(8, 8)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(9, 2)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(9, 3)",0.30000000000000004,0.0,0.0,0.0,-0.6000000000000001
"(5, 6)",0.0,0.0,-0.6000000000000001,0.0,0.6000000000000001
"(5, 7)",0.0,0.0,0.0,0.0,0.30000000000000004
"(10, 3)",1.2000000000000002,0.0,0.0,0.0,0.0
"(10, 4)",0.0,0.0,0.0,0.0,0.0
"(10, 5)",0.0,0.0,0.0,0.0,0.30000000000000004
"(14, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,-2.4000000000000004,0.0,0.0
"(1, 11)",0.0,0.0,1.8,0.0,0.0
"(1, 12)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(13, 2)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(8, 9)",0.0,0.0,0.0,0.0,0.6000000000000001
"(8, 10)",0.0,0.0,0.0,-1.5,0.0
"(4, 2)",0.0,0.0,0.6000000000000001,0.0,0.0
"(4, 3)",0.0,0.0,0.0,-0.9,0.0
"(15, 1)",0.0,0.0,0.0,-0.6000000000000001,-0.6000000000000001
"(15, 2)",0.0,-1.2000000000000002,0.0,0.0,0.0
"(15, 3)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(16, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 13)",-0.9,1.2000000000000002,0.0,0.0,0.0
"(2, 5)",0.0,0.0,0.0,0.6000000000000001,0.0
"(2, 6)",0.0,-0.9,0.0,0.0,0.0
"(3, 2)",0.0,0.0,-1.3800000000000001,0.0,0.0
"(4, 4)",0.0,0.6000000000000001,0.0,0.0,-0.6000000000000001
"(4, 5)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(11, 4)",0.0,0.0,-0.6000000000000001,0.0,0.30000000000000004
"(17, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.30000000000000004,0.0,0.0
"(13, 3)",0.0,0.0,0.0,0.0,0.0
"(13, 4)",0.0,0.0,0.0,0.0,0.9
"(8, 11)",0.0,0.30000000000000004,0.0,0.0,0.0
"(9, 4)",0.0,0.0,0.0,0.0,0.0
"(9, 5)",0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
"(9, 6)",0.30000000000000004,0.0,0.0,0.0,0.0
"(18, 1)",0.0,0.0,-0.27,0.0,0.9540000000000002
"(11, 5)",0.0,0.0,0.0,-0.546,0.0
"(1, 15)",-1.092,0.0,0.0,0.0,0.0
"(13, 5)",-1.8,0.0,0.0,0.0,0.0
"(13, 6)",0.0,1.8,0.0,0.0,0.0
"(13, 7)",0.0,0.0,0.30000000000000004,0.0,0.0
"(19, 1)",0.0,0.0,0.0,0.0,0.0
"(19, 2)",0.0,1.2000000000000002,0.0,0.0,0.0
"(19, 3)",1.2000000000000002,0.0,0.0,0.0,0.0
"(10, 6)",0.6000000000000001,0.0,0.0,-0.6000000000000001,0.0
"(10, 7)",0.0,0.0,0.0,0.0,0.30000000000000004
"(14, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.6000000000000001,-0.6000000000000001
"(1, 17)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(2, 7)",0.0,0.0,-0.78,0.0,0.0
"(2, 8)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(3, 3)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(15, 4)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(6, 6)",0.0,0.0,0.0,-0.006000000000000005,0.0
"(6, 7)",0.0,-0.546,0.0,0.0,0.8400000000000001
"(11, 6)",0.0,0.0,0.30000000000000004,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.30000000000000004,-1.2000000000000002,0.0,0.0
"(2, 9)",0.0,0.0,0.0,0.0,-2.4000000000000004
"(2, 10)",0.0,0.72,0.0,0.0,0.0
"(8, 12)",0.0,0.0,-0.9,0.0,0.0
"(4, 6)",0.0,0.0,-0.6000000000000001,0.0,0.0
"(4, 7)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(15, 5)",0.0,0.0,0.0,-0.6000000000000001,-0.9
"(16, 2)",0.0,0.0,0.0,0.0,0.0
