,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(11, 4)",0.0,1.4346,0.0,0.30000000000000004,0.0
"(17, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,1.077,0.0,0.0
"(7, 9)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(2, 15)",0.0,0.0,0.0,0.0,0.0
"(2, 16)",0.0,0.0,0.0,2.2686,0.0
"(2, 17)",0.0,0.0,0.0,0.0,0.0
"(2, 18)",0.0,0.30000000000000004,0.0,0.0,0.30000000000000004
"(10, 2)",0.327,0.0,-0.30000000000000004,0.0,0.0
"(4, 8)",0.0,0.0,0.0,1.2000000000000002,0.0
"(4, 9)",0.0,0.0,0.0,0.0,0.30000000000000004
"(11, 5)",0.10746000000000003,0.0,0.0,0.0,0.0
"(1, 19)",0.6000000000000001,0.0,0.0,0.0,0.0
"(7, 10)",-0.9,0.0,0.0,0.0,0.0
"(7, 11)",0.0,0.0,0.0,0.0,-0.6000000000000001
"(16, 2)",0.0,0.0,0.0,-0.6000000000000001,0.6000000000000001
"(16, 3)",0.0,-0.9,0.0,0.0,0.0
"(3, 14)",-0.6000000000000001,0.0,0.0,0.0,0.6000000000000001
"(3, 15)",0.0,0.0,0.0,0.30000000000000004,0.0
"(8, 6)",0.0,0.0,0.0,0.0,0.0
"(8, 7)",0.0,-1.2000000000000002,0.0,0.0,0.0
"(8, 8)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(5, 8)",-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
"(1, 20)",0.0,0.0,0.0,0.0,0.0
"(1, 21)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(7, 12)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(7, 13)",0.0,0.0,0.0,0.0,0.0
"(3, 16)",0.0,0.0,0.0,0.0,0.0
"(3, 17)",0.0,1.2000000000000002,0.0,0.0,0.0
"(3, 18)",0.0,0.0,0.0,0.0,-0.9
"(8, 9)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(8, 10)",-0.6000000000000001,0.0,-0.9,-1.5,0.0
"(9, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 22)",0.0,0.0,0.0,0.0,-1.8
"(1, 23)",0.0,0.0,0.0,0.8970000000000001,0.0
"(7, 14)",0.0,0.0,0.0,-0.6000000000000001,0.30000000000000004
"(2, 19)",0.0,0.0,0.0,0.0,0.0
"(3, 19)",0.0,0.0,0.0,0.0,0.0
"(3, 20)",-1.8,0.0,0.0,0.0,0.0
"(3, 21)",0.0,0.0,0.0,0.6000000000000001,0.0
"(5, 9)",0.0,0.0,0.0,0.0,0.0
"(6, 4)",0.0,0.0,0.0,0.0,0.0
"(7, 15)",0.0,0.0,-1.2000000000000002,0.0,0.0
"(7, 16)",0.0,-0.30000000000000004,0.0,0.0,-1.2000000000000002
"(2, 20)",0.0,0.0,-0.6000000000000001,0.0,0.9
"(3, 22)",0.0,0.0,-0.9,0.0,0.0
"(8, 11)",0.0,0.0,0.6000000000000001,0.0,0.0
"(14, 5)",0.0,0.9,0.0,0.0,0.0
"(18, 1)",0.0,0.0,1.2000000000000002,-0.6000000000000001,0.0
"(18, 2)",0.0,-0.6000000000000001,0.0,1.8,0.0
"(18, 3)",0.0,0.0,0.0,0.0,0.0
"(18, 4)",0.6000000000000001,0.0,0.0,0.0,0.0
"(19, 1)",0.0,0.0,0.0,0.30000000000000004,1.8
"(20, 1)",0.0,0.0,0.0,0.0,0.0
"(20, 2)",0.0,0.0,0.0,0.0,0.0
"(20, 3)",0.0,0.0,0.0,0.0,0.0
"(20, 4)",0.0,0.0,0.0,0.0,0.0
"(7, 17)",0.0,0.0,0.0,0.9,0.0
"(2, 21)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(2, 22)",-1.5,0.0,0.0,0.0,0.0
"(3, 23)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(8, 12)",0.0,0.0,0.0,-0.81,0.0
"(5, 10)",0.0,0.0,0.0,0.0,-0.6000000000000001
"(1, 24)",0.0,-1.8,0.0,0.0,0.0
"(1, 25)",0.0,0.0,0.0,0.0,0.0
"(2, 23)",0.0,0.0,-1.8,0.0,-1.2000000000000002
"(2, 24)",0.0,-0.30000000000000004,-0.6000000000000001,0.0,0.0
"(3, 24)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(3, 25)",0.0,0.6000000000000001,0.0,0.0,0.0
"(3, 26)",0.0,0.0,-0.9,0.0,0.0
"(8, 13)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(14, 6)",0.0,0.0,0.0,0.0,0.6000000000000001
"(14, 7)",0.0,0.0,0.6000000000000001,0.0,0.0
"(14, 8)",0.9,0.0,0.0,0.0,0.0
"(4, 10)",0.0,0.0,0.0,0.05400000000000002,1.1988114
"(4, 11)",-0.4390697400000001,0.0,0.0,0.0,0.0
"(11, 6)",0.0,0.0,1.2000000000000002,0.0,0.0
"(11, 7)",0.0,0.0,0.05400000000000002,0.0,0.0
"(17, 2)",0.0,0.0,0.0,0.0,0.0
"(7, 18)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(2, 25)",0.0,0.0,0.0,-0.6000000000000001,-1.2000000000000002
"(2, 26)",0.0,0.9,0.0,0.0,0.0
"(3, 27)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(4, 12)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(14, 9)",0.0,0.0,0.0,-0.6000000000000001,-0.846
"(10, 3)",0.0,0.0,0.6000000000000001,0.0,0.0
"(11, 8)",0.0,0.0,0.0,0.0,-0.27411304259999997
"(1, 26)",0.0,0.0,0.0,0.0,0.0
"(1, 27)",0.0,0.0,0.0,-2.073,0.6000000000000001
"(2, 27)",-1.2000000000000002,0.0,-1.2000000000000002,0.0,0.0
"(2, 28)",0.0,0.0,0.0,0.0,1.2000000000000002
"(2, 29)",0.0,0.0,0.0,0.0,0.0
"(8, 14)",0.0,-1.2000000000000002,0.0,0.0,0.0
"(8, 15)",0.0,0.0,0.0,-0.6000000000000001,0.0
"(1, 28)",0.0,0.0,0.54,0.0,0.0
"(1, 29)",0.0,0.0,0.0,-2.1,0.0
"(7, 19)",0.0,0.0,0.0,0.0,-1.2000000000000002
"(7, 20)",0.0,0.0,0.0,0.0,0.0
"(7, 21)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(2, 30)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(3, 28)",0.9,0.0,-0.6000000000000001,0.0,0.0
"(3, 29)",0.0,0.0,0.0,-1.2000000000000002,0.0
"(3, 30)",0.0,0.0,0.005399999999999995,0.0,0.0
"(1, 30)",0.0,1.2000000000000002,0.0,-1.8,0.0
"(1, 31)",0.0,0.0,0.0,0.0,-2.8200000000000003
"(1, 32)",0.0,0.0,0.0,0.0,0.30000000000000004
"(14, 10)",1.5,0.0,-0.6000000000000001,0.0,0.0
"(2, 31)",-0.30000000000000004,0.0,0.0,-0.6000000000000001,0.0
"(3, 31)",0.0,0.0,0.0,0.0,0.30000000000000004
"(8, 16)",-0.54,0.0,0.0,0.0,-0.6000000000000001
"(8, 17)",0.30000000000000004,0.0,-0.6000000000000001,0.0,0.0
"(9, 3)",0.0,0.0,0.0,0.0,0.0
"(1, 33)",0.0,0.0,0.0,0.0,0.0
"(1, 34)",0.0,0.0,0.0,0.0,0.0
"(1, 35)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(2, 32)",0.0,0.0,0.0,0.0,0.0
"(2, 33)",0.0,0.0,0.0,0.0,-0.6000000000000001
"(4, 13)",0.0,0.0,0.0,0.6000000000000001,0.6000000000000001
"(4, 14)",0.0,0.0,0.0,0.30000000000000004,0.0
"(5, 11)",0.0,0.0,0.0,0.0,0.6000000000000001
"(1, 36)",0.0,0.0,0.0,0.0,-2.1
"(7, 22)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(16, 4)",0.0,0.0,0.0,0.30000000000000004,0.0
"(3, 32)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(4, 15)",0.0,0.0,0.0,0.0,0.0
"(4, 16)",0.0,0.0,0.0,0.0,0.6000000000000001
"(4, 17)",0.6000000000000001,0.30000000000000004,0.0,0.0,0.0
"(11, 9)",0.0,0.0,0.0,0.0,0.0
"(11, 10)",0.0,0.3051172340166,0.0,0.0,0.0
"(1, 37)",0.0,0.0,-1.2000000000000002,0.0,-1.038
"(1, 38)",0.9,0.0,0.0,0.0,0.0
"(14, 11)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(2, 34)",0.0,0.0,0.0,0.0,0.0
"(2, 35)",0.6000000000000001,0.0,0.0,0.0,-0.6000000000000001
"(2, 36)",0.0,0.9,0.0,0.0,0.0
"(10, 4)",0.0,0.0,0.0,1.2000000000000002,0.0
"(10, 5)",0.0,0.0,0.0,0.0,0.0
"(10, 6)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(4, 18)",0.0,0.0,0.0,0.35346000000000005,0.0
"(12, 5)",0.0,0.0,0.0,0.0,0.0
"(12, 6)",0.07636284786292667,0.0,0.0,0.0,0.0
