,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
0F0F,0.6343166519295024,1.7859940548546351,0.5613034487822822,2.5335991565930476,1.7645747866854657,0.3482975584762592,1.5700090529418615,0.5600618787531614,0.7145029090094495,0.5105433680741716,0.5139311919736647
FF0F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0FFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF,0.0,0.0,0.0,0.0,0.0,0.21236717700000002,0.0,0.0,0.0,0.0,0.0
