3d2c3b3h3c3f0j4h1h2d0a0h2d0j2c1h
0g
2c
0f
2a
4d
1b
1j
0f
0e
1f
4i
0j
2k
0a
3i
1g
2k
0f
0f
3a
1a
4i
1h
4j
2c
4c
2a
2k
3g
1g
0c
4i
1e
3c
1b
4h
0i
4c
3k
4c
1g
3i
0a
3b
4g
0k
0c
0f
3j
2c
4h
4d
0k
2a
3c
3j
0g
4g
3k
1b
2f
2i
0g
2c
2c
1b
3c
2f
1j
3d
1h
3j
4f
4c
4j
4a
2j
0j
3b
0k
0b
1c
1j
4c
0f
2f
