,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
79,-0.17779156740000002,-0.10097467413184338,3.407224737528223,0.0,4.646382157012606,-0.6402849227780959,-1.2148571285236374,0.0,-0.4476,-0.4185542822732976,0.2074366241863328
B6,0.1233506168181457,0.12060000000000003,0.0,0.16000000000000003,0.0,1.4899452321654705,3.5625802433877674,0.0,0.0,0.0,0.0
F0,3.465502065675616,4.225506045620365,4.317830582098829,3.732967274261022,4.069711411353787,1.0096749184311533,2.511816964540106,2.9633021104726547,5.9786503822398815,3.5104507762679287,6.826731347207544
0F,-0.4119037179353757,4.296255557451065,1.0248660422719416,2.2961270267584726,3.0459872284619696,-0.6256723596342539,3.325145586455689,0.14608496406241495,0.8854161220888837,2.9588286053035544,2.868612380602997
X,0.42239837791023693,0.0,0.0,0.0,0.17428500000000002,0.09408793499999998,0.0,0.9748627275540078,0.0,0.0,0.0
69,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000108
AB,0.1317150772219042,-0.8500000000000001,-0.5082000330445212,0.0,0.0,-0.5199999999999999,0.0,0.0,-0.34,2.2604826563177727,1.5746119691322682
A9,-0.33999999999999997,0.0,0.0,-0.5300547678345293,1.6660581351718955,0.0,1.0549452321654704,-0.8861584531709694,0.0,1.7149576040906294,0.0
FF,2.1966690118155356,0.0,-0.31661510681423527,0.2058099440402612,0.38712850473973137,0.20171432615386006,0.3812400764307955,0.2058099440402612,0.2058099440402612,1.6685558339779287,1.0212304166852209
59,0.0,1.34,0.0,0.0,0.0,0.0,-1.3417512226000001,0.798035,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.9369264584161984,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,-0.5520671594064799,0.0,-0.5200547678345294,-2.0100000000000002,1.35,0.0
C3,0.0,0.5088575605661948,0.0,0.0,0.0,0.0,0.0,1.6799999999999997,0.0,0.0,0.0
B7,0.0,0.0,0.0,0.0,-0.01936777809510093,0.0,0.0,0.0,0.0,0.0,-0.5375691399999999
A8,6.616559090477663,0.3731767321654706,0.5855397660796208,-0.22060600000000002,0.0,0.02907900981041675,1.1985816667040452,0.3200000000000001,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,3.406881917911467,0.0,0.0,0.0,-0.9768232678345294
7A,0.0,0.0,0.0,0.0,-0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,2.5100000000000002,0.0,0.0,0.03317673216547057,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1203073541583801,0.0,3.6804514894513334,0.0
89,0.0,0.0,0.0,0.0,0.0,-1.894667202697403,0.0,0.0,0.0,0.0,0.0
6A,0.0,0.0,0.0,0.0,0.0,-0.2194,0.0,0.0,0.0,0.0,0.0
