step[0]
	0 0 0 0 0 0 0 0
step[10]
	0 0 0 0 -13.6 13.6 0 0
step[20]
	0 0 0 0 -13.6 3.4 0 0
step[30]
	0 0 0 0 0.0 0.0 0 0
step[40]
	5 -5 10 0 -8.5 11.9 5 0
step[50]
	0 0 0 0 -10.2 6.8 0 0
step[60]
	0 0 10 0 0.0 3.4 0 0
step[70]
	0 0 0 0 -10.2 10.2 0 0
step[80]
	5 -5 0 0 -8.5 5.1 10 0
step[90]
	0 0 0 0 0.0 0.0 5 0
step[100]
	0 0 0 0 -3.4 0.0 5 0
step[110]
	0 0 0 0 -3.4 3.4 0 0
step[120]
	0 0 0 0 -6.8 6.8 0 0
step[130]
	0 0 10 0 0.0 3.4 0 0
step[140]
	0 0 0 0 -6.8 3.4 0 0
step[150]
	0 0 0 0 -6.8 3.4 0 0
step[160]
	0 0 0 0 0.0 0.0 0 0
step[170]
	0 -5 0 0 -1.7 0.0 0 0
step[180]
	5 0 10 0 0.0 1.7 0 0
step[190]
	0 0 0 0 -3.4 0.0 0 0
step[200]
	0 0 10 0 0.0 3.4 0 0
step[210]
	0 0 0 0 -3.4 3.4 0 0
step[220]
	0 -5 0 0 -1.7 0.0 0 0
step[222]
	0 0 0 0 0 0 0 0
step[232]
	0 0 0 0 -13.6 13.6 0 0
step[242]
	0 0 0 0 -13.6 3.4 0 0
step[252]
	0 0 10 0 0.0 6.8 0 0
step[262]
	0 0 0 0 -13.6 6.8 0 0
step[272]
	5 -5 0 0 -11.9 1.7 10 0
step[282]
	0 0 0 0 0.0 0.0 0 0
step[292]
	0 0 0 0 -10.2 0.0 5 0
step[302]
	0 -5 0 0 -5.1 3.4 0 0
step[312]
	0 0 0 0 0.0 0.0 0 0
step[322]
	0 0 0 0 -6.8 0.0 0 0
step[332]
	0 -5 0 0 -1.7 0.0 0 0
step[342]
	0 0 0 0 0.0 0.0 0 0
step[352]
	0 0 0 0 0.0 0.0 0 0
step[362]
	0 0 0 0 -6.8 3.4 0 0
step[372]
	0 0 0 0 -6.8 3.4 0 0
step[382]
	0 0 0 0 0.0 0.0 0 0
step[392]
	0 0 0 0 -6.8 3.4 0 0
step[402]
	0 -5 0 0 -5.1 0.0 0 0
step[404]
	0 0 0 0 0 0 0 0
step[414]
	0 0 0 0 -13.6 3.4 0 0
step[424]
	0 0 10 0 -10.2 13.6 0 0
step[434]
	5 0 10 0 -3.4 8.5 5 0
step[444]
	0 -5 0 0 -8.5 0.0 0 0
step[454]
	0 0 0 0 -6.8 3.4 0 0
step[464]
	0 0 10 0 -3.4 6.8 0 0
step[474]
	0 0 0 0 -10.2 10.2 0 0
step[484]
	0 -5 0 0 -8.5 0.0 5 0
step[494]
	0 0 10 0 -3.4 6.8 0 0
step[504]
	0 0 10 0 -3.4 6.8 0 0
step[514]
	0 0 0 0 -6.8 0.0 0 0
step[524]
	0 0 10 0 -3.4 6.8 0 0
step[534]
	0 0 10 0 -3.4 6.8 0 0
step[544]
	0 0 0 0 -6.8 0.0 10 0
step[554]
	10 0 10 0 0.0 3.4 0 0
step[564]
	0 0 0 0 0.0 0.0 0 0
step[574]
	0 0 10 0 -3.4 6.8 0 0
step[584]
	0 0 0 0 -3.4 3.4 0 0
step[594]
