1f3j1b4f1h0a2k1d3b2j2i4j1h1h3f1e4c2c2b0d
2a
0f
0b
2i
0d
3b
4a
2c
1k
4h
4d
2k
3d
1k
0j
1e
4g
0j
3k
0d
4k
2d
4g
3f
1d
0g
4c
3e
3k
0i
3c
3i
3i
4g
3d
3h
2h
2k
2c
2i
2a
0b
0e
4h
0j
2c
4b
4i
2k
2j
3g
1h
4h
2i
2a
4a
4b
1j
0e
1c
1i
0a
2e
4g
1e
1f
1j
3h
3d
2e
4d
1k
3e
0h
3k
2h
1k
2f
1i
0a
3k
2e
4c
1c
3j
4d
3f
3h
4g
3i
4k
3b
2j
1c
0k
1h
2j
3c
4j
4g
2j
0f
3g
3h
4h
4c
4f
2i
1h
1i
3j
3i
3a
3b
1k
1k
1d
4h
3i
2i
3b
0k
0j
4d
3c
2i
4c
1h
1h
2d
0j
4f
0e
4k
2a
0a
3i
3c
4f
0i
2g
0d
3i
1e
3b
3j
0i
4j
2g
4k
2f
4h
1f
0d
1f
1d
4f
3f
1h
1c
3b
3c
0d
4j
4e
2j
2i
1h
3a
2d
0i
4i
3j
3e
1f
4g
1g
0i
4j
4a
3j
4j
0c
4d
1e
3i
1j
4i
3f
0j
4e
3e
3f
2b
0j
1d
1d
4c
3j
2b
3e
2i
3b
1b
3i
4a
2h
1b
2c
4d
1e
0b
4h
3a
4c
2i
4f
2j
4h
0a
2k
4g
2e
0h
3k
0k
3e
0a
4g
2k
4i
1c
2e
1h
2i
0j
3g
0k
2b
1h
3h
1e
2k
2e
4d
2e
0a
4a
4b
1h
3b
1j
0d
4i
3a
0h
4j
4i
3h
1k
3h
2i
3i
4g
4h
1j
1h
4b
4f
2j
2e
3b
3j
4h
2e
3d
1f
2b
0g
2c
2e
3c
2a
2j
2f
4i
4e
0g
2k
1g
4b
0b
2h
2j
2d
0f
1d
0g
2b
3b
0h
2k
3a
0e
4h
3e
3c
4e
2g
0d
4g
1g
0k
0j
2j
4d
0c
4a
4g
1h
2b
2i
3e
3f
0e
0b
2g
0i
0j
1g
2g
3b
0a
4d
4a
3j
3f
4a
3j
4h
3a
1h
0j
3d
2g
3i
2e
2h
4d
4e
4i
4c
0h
4h
0g
0a
2h
2h
3f
2d
0a
3k
0c
1k
0e
1b
1i
4j
1j
2c
0c
1b
4i
0i
2g
3j
3g
0b
2a
2e
1j
2c
0d
2f
4j
2b
4e
2f
3a
3d
4c
0h
3j
3j
3i
1j
3b
3i
3g
2i
0e
2h
3d
0i
0b
0b
0e
2b
4k
3k
1g
3a
3k
0k
1k
1d
3i
1a
4h
0a
3i
3b
0d
3h
3f
0h
1h
4i
2d
4f
3c
0k
4d
1j
3c
0e
4k
4i
1g
2j
0j
2h
4h
3e
2f
1h
2d
0j
1c
2g
4c
4j
2i
0j
4f
4k
1j
4f
1c
4a
3f
2i
2c
0f
1c
3f
0j
4a
2h
4j
0h
1f
4i
3a
3i
3g
3a
2c
2f
2a
0k
3h
2g
3e
3j
4a
1k
3c
4h
0c
2e
3g
2k
2i
0a
2c
1k
