step[0]
	0 0 0 0 0 0 0 0
step[10]
	0 0 0 0 -13.6 13.6 0 0
step[20]
	0 0 0 0 -6.8 0.0 0 0
step[30]
	0 0 10 0 -6.8 13.6 0 0
step[40]
	0 -5 0 0 -11.9 0.0 0 0
step[50]
	0 0 10 0 -6.8 10.2 0 0
step[60]
	0 0 10 0 -6.8 10.2 0 0
step[70]
	0 -5 0 0 -8.5 0.0 5 0
step[80]
	5 0 10 0 -3.4 5.1 5 0
step[90]
	5 0 0 0 -10.2 5.1 5 0
step[100]
	0 -5 0 0 -1.7 0.0 5 0
step[110]
	0 0 0 0 -3.4 3.4 0 0
step[120]
	0 0 0 0 -6.8 0.0 0 0
step[130]
	0 0 0 0 -3.4 3.4 0 0
step[140]
	0 0 0 0 -3.4 0.0 0 0
step[150]
	0 0 0 0 -6.8 3.4 0 0
step[160]
	0 -5 10 0 -1.7 3.4 0 0
step[162]
	0 0 0 0 0 0 0 0
step[172]
	0 0 0 0 -13.6 13.6 0 0
step[182]
	0 0 0 0 -10.2 13.6 0 0
step[192]
	0 0 0 0 -3.4 3.4 0 0
step[202]
	0 -5 0 -10 -11.9 3.4 0 0
step[212]
	5 0 0 0 -13.6 8.5 5 0
step[222]
	0 0 10 0 0.0 10.2 0 0
step[232]
	0 0 0 0 -10.2 0.0 0 0
step[242]
	0 0 0 0 -10.2 6.8 0 0
step[252]
	5 0 10 0 0.0 5.1 5 0
step[262]
	0 -5 0 0 -5.1 3.4 0 0
step[272]
	0 -5 0 0 -5.1 0.0 5 0
step[282]
	0 0 0 0 -3.4 3.4 0 0
step[292]
	0 0 0 0 -3.4 3.4 0 0
step[302]
	0 0 0 0 -6.8 0.0 0 0
step[312]
	0 -5 0 0 -5.1 3.4 0 0
step[314]
	0 0 0 0 0 0 0 0
step[324]
	0 0 0 0 -13.6 13.6 0 0
step[334]
	0 0 0 0 -13.6 13.6 0 0
step[344]
	0 0 0 0 0.0 3.4 0 0
step[354]
	0 0 0 -10 -13.6 6.8 0 0
step[364]
	5 -5 0 0 -8.5 5.1 5 0
step[374]
	0 0 10 0 -3.4 10.2 0 0
step[384]
	0 0 0 0 -6.8 0.0 0 0
step[394]
	5 -5 10 0 -5.1 8.5 15 0
step[404]
	0 0 10 0 0.0 6.8 0 0
step[414]
	0 0 0 -10 -3.4 0.0 0 0
step[424]
	0 0 0 0 -3.4 6.8 0 0
step[434]
	0 0 0 0 -3.4 3.4 0 0
step[444]
	5 0 0 0 0.0 5.1 0 0
step[454]
	0 0 0 0 0.0 0.0 0 0
step[464]
	0 -5 0 -10 -1.7 0.0 0 0
step[474]
	0 0 0 0 -3.4 3.4 0 0
step[484]
	0 0 0 0 0.0 0.0 0 0
step[494]
	0 0 0 0 -3.4 3.4 0 0
step[504]
	0 0 0 0 -3.4 3.4 0 0
step[514]
	0 0 0 0 0.0 3.4 0 0
step[524]
	0 0 0 -10 -3.4 0.0 0 0
step[534]
	0 0 0 0 -3.4 3.4 0 0
step[544]
	5 0 0 0 0.0 1.7 0 0
step[546]
	0 0 0 0 0 0 0 0
step[556]
	0 0 0 0 -13.6 13.6 0 0
step[566]
	0 0 0 0 -6.8 0.0 0 0
step[576]
	5 0 10 0 -6.8 11.9 5 0
