3i0g0i4e1h4i4d1f2a2k2j4a3c2a2k3f
1e4c1d2f2j1i1f3a0f1e0g3i3e0h2e0g0g3i0c0j
4c0k3a1f1b1f1i2b3d1c4j0a2b2i1e4f0g1g1a3h2c3k1e
0k4c2b4h0e0c0f0d0f3e0j0g0j2d2a4e4g1b2a4c4g
2h2g4f1a4j1k3a1j2d3a3h0a0h3c4b3a0e2c1c4f4d1c2c0i
1a4a4k0h1e4h4k0b2a4g1a3c0c0f
1a3f2h4d1j4k1j4j3a3c1a0a0g0h2c4c4a4h3c1c1c1j3c3g4k4k0c
1a1a0e4h1i1k4e0j1e1k3c0c0c0c2c3g
1c4a3a4a0h4d4h2d1e1a2e2c0c0k4c1c4c2c2g
2a4c0h3c4e0i1f3i3f3c1c2f0i1d2b3a4k2k4b1g
1k
0h3i2e4d0f3c0c4d3i2d4i1e2i0i3b2e4a3a3h2h3a2a2a3a4a3g4a0a2a4k0a
4f
2d3g3k4i2a1i0k2g4i1f4i0c0d0g4k1j3g0b2a1j4g0k4k0b4b3k4i0b4e1i1b1e1k3g0i
0b
4c4c2a3d3e4c3c4h1j4b
