,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(1, 1)",-2.4000000000000004,0.0,-1.80306,-1.8,0.0
"(1, 2)",0.6000000000000001,0.0,1.2810000000000001,0.0,0.0
"(1, 3)",1.2000000000000002,0.0,0.0,0.0,0.0
"(1, 4)",0.0,0.0,0.0,0.0,-1.5
"(2, 1)",0.0,-1.5,0.0,0.0,0.0
"(3, 1)",0.0,0.0,0.0,0.0,1.1400000000000001
"(3, 2)",0.0,-1.5,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.54,0.0,0.0
"(4, 2)",0.6000000000000001,0.0,-1.2000000000000002,0.0,0.0
"(4, 3)",-0.9,0.0,0.0,-0.6000000000000001,0.0
"(5, 1)",0.0,0.0,-0.8360110546170001,0.0,0.6398894538300001
"(6, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 5)",0.0,0.0,0.0,0.0,-0.39
"(7, 1)",0.0,-1.2000000000000002,-1.2000000000000002,0.0,0.0
"(7, 2)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(3, 3)",0.0,-0.9239999999999999,0.0,0.0,0.0
"(4, 4)",0.0,0.0,0.0,0.0,0.0
"(4, 5)",1.2000000000000002,-1.2000000000000002,0.0,0.0,0.0
"(4, 6)",0.0,0.0,0.0,-1.7400000000000002,0.0
"(4, 7)",0.0,0.0,-0.6000000000000001,0.0,0.0
"(4, 8)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(8, 1)",-0.39269999999999994,0.0,-0.30000000000000004,-0.6000000000000001,0.0
"(9, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 6)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(7, 3)",0.0,-1.8,0.0,0.6000000000000001,0.0
"(7, 4)",0.0,0.6000000000000001,0.0,0.0,0.0
"(7, 5)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(10, 1)",0.0,0.0,-0.9,0.0,0.0
"(11, 1)",0.0,1.2000000000000002,0.0,0.0,0.0
"(11, 2)",0.0,0.0,0.0,0.0,1.2000000000000002
"(11, 3)",0.0,0.0,0.30000000000000004,0.0,0.0
"(12, 1)",0.0,0.0,0.0,0.0,0.0
"(12, 2)",0.0,0.6599999999999999,0.0,0.6000000000000001,0.0
"(12, 3)",0.0,0.0,0.30000000000000004,0.0,0.0
"(13, 1)",0.0,0.0,0.0,0.30000000000000004,0.0
"(14, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,0.0,0.0,0.0,0.6000000000000001
"(1, 8)",0.0,0.0,-0.6000000000000001,0.0,-1.8
"(1, 9)",0.9,0.0,0.0,0.0,0.0
"(2, 2)",0.30000000000000004,0.0,0.0,0.0,0.0
"(3, 4)",-1.02,0.0,0.0,0.0,0.0
"(3, 5)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(4, 9)",0.0,0.0,0.0,0.0,0.0
"(4, 10)",-0.6000000000000001,0.0,0.0,0.0,0.0
"(15, 1)",0.0,0.0,-0.09000000000000008,0.0,0.0
"(13, 2)",0.0,0.6000000000000001,0.30000000000000004,0.0,0.0
"(16, 1)",0.0,0.026462700000000002,-0.5700000000000001,0.050279130000000005,0.5563609226999999
"(17, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.6000000000000001,0.0,0.0,0.0
"(3, 6)",0.0,0.0,0.0,0.0,0.6000000000000001
"(3, 7)",0.0,0.30000000000000004,0.0,0.0,0.927
"(4, 11)",0.0,0.0,-0.6000000000000001,0.5700000000000001,0.0
"(15, 2)",0.0,0.6000000000000001,0.0,-0.6000000000000001,0.0
"(15, 3)",-0.6000000000000001,0.0,0.0,0.6000000000000001,0.0
"(15, 4)",0.0,0.0,0.0,0.0,0.0
"(15, 5)",0.0,0.0,0.0,0.0,0.0
"(16, 2)",0.0,0.5800776957,0.0,0.002430000000000001,0.0
"(1, 11)",0.0,0.0,0.0,0.0,1.1340000000000001
"(1, 12)",-2.1,0.0,0.0,0.0,-1.2000000000000002
"(2, 3)",0.0,0.6000000000000001,0.0,0.0,0.0
"(2, 4)",0.0,0.0,0.0,0.0,-2.8800000000000003
"(2, 5)",0.30000000000000004,0.0,0.0,0.0,0.0
"(18, 1)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(4, 12)",0.0,-0.6000000000000001,0.0,0.0,-1.2000000000000002
"(4, 13)",0.0,-0.9,0.0,0.0,0.0
"(8, 2)",-0.9,0.0,0.0,0.6000000000000001,0.0
"(9, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,-1.8,-0.6000000000000001,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,1.5,0.0,0.0,0.0
"(7, 6)",0.0,0.0,0.0,0.0,0.30000000000000004
"(3, 8)",0.0,-1.173,0.0,0.0,0.0
"(15, 6)",1.08,0.0,0.0,0.0,0.0
"(15, 7)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(5, 2)",0.0,0.0,0.30000000000000004,0.0,0.0
"(16, 3)",0.0,0.0,0.0,0.0,-0.60297
"(16, 4)",0.0,-0.543813,0.0,0.0,0.0
"(19, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.6000000000000001,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,-2.4000000000000004
"(1, 18)",0.0,-1.5,0.0,0.0,0.0
"(2, 6)",0.0,0.9,0.0,0.0,0.0
"(3, 9)",0.0,0.0,0.0,0.0,0.0
"(3, 10)",-0.30000000000000004,0.0,-0.6000000000000001,0.0,0.0
"(4, 14)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(8, 3)",-0.573,0.0,-0.6000000000000001,-0.6000000000000001,0.0
"(8, 4)",0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0
"(1, 20)",0.05400000000000002,0.0,0.0,0.6480000000000001,0.0
"(3, 11)",-1.8,0.0,0.0,0.0,1.6800000000000002
"(3, 12)",-0.6000000000000001,0.0,0.0,0.0,-0.6000000000000001
"(3, 13)",0.0,0.30000000000000004,0.0,0.0,0.0
"(4, 15)",0.0,0.9,0.0,0.0,0.0
"(15, 8)",0.0,0.0,-0.9,0.0,0.0
"(5, 3)",-0.6000000000000001,0.0,-0.6000000000000001,0.0,0.0
"(3, 14)",0.0,-1.8,0.0,0.0,0.0
"(3, 15)",0.0,0.0,0.0,-0.54,0.0
"(8, 5)",-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0
"(20, 1)",0.0,0.0,0.0,-1.8,0.0
"(20, 2)",0.0,0.0,2.4000000000000004,0.0,0.0
"(20, 3)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(21, 1)",-3.3000000000000003,0.0,0.0,0.0,0.0
"(22, 1)",0.0,0.0,0.0,3.3000000000000003,0.0
"(23, 1)",0.0,0.0,0.0,0.0,0.0
"(23, 2)",0.0,0.0,0.0,0.0,-1.2000000000000002
"(24, 1)",0.0,0.0,0.0,0.0,0.0
"(2, 7)",0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.0
"(2, 8)",-0.6000000000000001,0.0,-0.30000000000000004,0.0,0.0
"(18, 2)",0.0,0.0,0.0,0.0,0.0
"(18, 3)",0.0,0.0,0.0,-0.05999999999999994,0.0
"(18, 4)",0.0,0.0,-1.2000000000000002,0.9,0.0
"(4, 16)",0.0,0.0,0.54,0.0,0.0
"(4, 17)",0.0,0.0,0.0,0.6000000000000001,-0.30000000000000004
"(15, 9)",0.681,0.0,0.0,0.0,-0.6000000000000001
"(5, 4)",0.0,-0.54,0.0,-0.30000000000000004,-0.27
"(6, 2)",0.0,0.0,0.0,0.0,0.0
"(20, 4)",0.0,0.0,0.0,0.30000000000000004,0.0
"(25, 1)",0.0,0.0,0.0,-0.9,0.0
"(26, 1)",0.0,0.0,0.0,0.0,0.0
"(26, 2)",0.0,0.0,-1.5,0.0,0.0
"(27, 1)",-1.5,0.6000000000000001,0.0,0.0,0.0
"(28, 1)",0.0,0.0,0.0,0.0,0.0
"(28, 2)",0.0,0.0,0.0,0.0,0.0
"(28, 3)",0.0,-0.9,0.0,0.0,0.0
"(24, 2)",0.0,0.0,0.0,0.0,-0.9
"(29, 1)",0.0,0.0,0.0,0.0,0.0
"(18, 5)",-1.2000000000000002,0.0,0.0,0.0,1.2000000000000002
"(18, 6)",0.0,0.0,0.0,0.0,0.0
"(18, 7)",0.9,0.0,0.0,-1.2000000000000002,0.0
"(4, 18)",0.0,-0.30000000000000004,0.6000000000000001,0.0,0.0
"(8, 6)",0.05400000000000002,0.0,0.0,0.0,-0.05999999999999994
"(8, 7)",0.0,0.0,0.0,0.0,0.6000000000000001
"(8, 8)",0.30000000000000004,0.0,0.0,0.0,-0.6000000000000001
