,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
79,0.18291355463665002,-1.955,0.0,-1.3389352226,-2.5460000000000003,0.5567000000000001,-0.43441038495169937,-0.8500000000000001,-3.3440497420264688,0.34061678763837167,-1.2294
89,0.0,0.0,0.1904335708094055,0.0,0.012474668160237179,-0.16999999999999993,-1.6151274097831718,0.0791548564918439,-0.1849107694124552,0.6008892789034592,-0.6799999999999999
F0,3.638521506975424,4.130876458598234,1.8326624675563257,3.9745319956651572,1.1260456601152522,2.832817123614359,3.4476905987799777,2.15466660187586,5.179713259910072,5.28569638719618,4.1007828611390025
0F,2.3388359162298675,3.3196050456246016,2.8491319849394636,2.762423164041631,1.5687761043186703,2.6096529091032723,3.3152693425071598,3.2370602620634776,3.278438390608965,3.244139886384993,2.3734834421891438
X,0.0,0.0,0.22558950892961113,0.32104594281591914,0.0,0.15099101342186771,0.1258521331278102,0.0,0.32983320570832964,0.49737025081181185,0.0
B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,0.0,0.0
AB,0.0,0.0,0.0,0.6438462999999999,0.0,0.0,0.0,0.0,0.0,1.17,0.0
FF,0.9380961766122927,0.12199609538995465,0.12344816555032308,0.5560883449430618,0.3673450935807092,1.4591214081776296,0.5437599329201729,0.22212155963174549,1.3020995829685535,0.869786057813329,-0.4120656620987274
99,2.0400578128993385,0.0,2.1811177353179403,1.5309710594,0.2706752074820608,1.9777634918797544,8.535727204195297,-0.18879999999999997,0.0,1.2299490501045447,0.0
A8,0.1221705212381842,0.0,-0.42741626587261283,0.0,0.420571505495945,0.0,2.4225837341273873,0.0,0.0,0.21628656045539463,2.7571298202280254
77,0.0,0.0,0.0,1.6717710317039385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.613,0.0,0.0,0.0
5B,0.0,3.4498512000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3212000000000002,0.0
8B,0.009999999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.9590029111268911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A9,0.0,0.0,0.2584815438536901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6B,0.0,0.0,0.0,0.48359109539927625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B8,3.6467512634219146,0.0,0.0,0.0,0.0,0.0,-0.7160000000000002,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,1.7448725902168283,0.0,0.0,0.0,0.0,0.7278807586601285,0.0,0.0
98,0.0,0.0,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.0,0.0,0.0,1.3399999999999999,0.0,0.0,0.0,1.1911517307180803,0.0,0.0
78,0.0,1.3697,0.0,0.0,0.0,0.0,0.33000000000000007,0.31456067619527617,0.0,0.02970000000000001,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6160273772610636,0.0,0.0,0.0
49,1.6800000000000002,-0.42468907787945587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
