,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(1, 1)",-2.2527906000000004,-4.3265340000000005,-1.1697047999999999,-1.9391833859999998,-2.1114
"(1, 2)",0.6000000000000001,1.2000000000000002,0.0,0.0,0.0
"(1, 3)",0.0,0.0,0.0,0.0,0.30000000000000004
"(2, 1)",-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0
"(2, 2)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(3, 1)",0.0,0.0,0.0,0.0,0.0
"(3, 2)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(4, 1)",0.0,0.0,0.30000000000000004,0.0,0.0
"(5, 1)",0.30000000000000004,1.2000000000000002,0.0,0.0,0.0
"(6, 1)",-0.28885982999999993,-0.6548215487986471,-0.54357,0.7227909385800533,-0.29650003917000006
"(7, 1)",0.008730747000000004,0.22043803888171482,-0.5035698432686772,-0.07967242646152423,0.7955227582367715
"(7, 2)",0.3312719784988518,-0.44994549731094985,0.3098138180685007,0.6340078463130154,0.15389204416290053
"(8, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,2.8200000000000003,0.0,0.0,0.0
"(1, 5)",0.0,0.0,0.0,0.0,-0.9
"(2, 3)",-0.54,0.0,0.0,0.0,0.0
"(2, 4)",-1.8,0.0,0.0,0.0,0.0
"(2, 5)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(3, 3)",1.2000000000000002,0.0,0.0,0.0,0.0
"(3, 4)",0.0,0.0,0.0,0.0,-1.5
"(9, 1)",0.0,0.0,0.0,0.30000000000000004,0.0
"(5, 2)",0.0,0.0,1.1400000000000001,0.05400000000000002,0.0
"(5, 3)",0.0,0.0,0.0,-0.30000000000000004,0.8964300000000001
"(6, 2)",0.0,-0.0030000000000000027,0.30243000000000003,0.8649383797308317,-1.3092323143856592
"(7, 3)",0.0,-0.03270000000000001,0.0,0.0,0.0
"(8, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 6)",-0.6000000000000001,-1.692,0.0,-1.2600000000000002,0.0
"(1, 7)",0.0,0.0,0.0,1.2000000000000002,-0.6000000000000001
"(1, 8)",0.0,0.0,-1.5,0.0,-1.5
"(2, 6)",-1.8,0.0,0.0,0.0,-1.2000000000000002
"(2, 7)",0.0,0.0,0.0,-0.6000000000000001,0.0
"(2, 8)",0.0,0.0,-0.9,0.0,0.0
"(10, 1)",0.0,-1.2000000000000002,-1.2000000000000002,0.0,0.0
"(10, 2)",0.0,0.30000000000000004,0.0,0.0,0.0
"(11, 1)",0.0,0.0,0.0,-0.8400000000000001,0.0
"(12, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.34266,-0.02999999999999997,-1.32,0.0
"(13, 1)",0.4740000000000002,0.0,-2.2014,0.0,0.0
"(3, 5)",0.0,0.0,1.19346,0.0,0.0
"(3, 6)",0.0,1.6745999999999999,0.0,0.0,-1.8
"(3, 7)",-1.5,0.0,0.0,0.0,-0.4800000000000001
"(4, 2)",0.0,-0.12479999999999991,-0.6000000000000001,-1.2000000000000002,0.0
"(4, 3)",0.0,0.30000000000000004,0.0,0.0,0.0
"(14, 1)",0.0,-1.6800000000000002,0.0,0.0,0.0
"(14, 2)",0.0,0.0,0.0,0.30000000000000004,0.0
"(6, 3)",0.02889513000000001,0.0,0.12941776179371198,-0.6000000000000001,0.0
"(1, 10)",0.0,3.9890940000000006,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,-0.6000000000000001,0.0
"(1, 12)",0.0,-1.5,0.0,0.0,-0.30000000000000004
"(2, 9)",0.9,0.0,0.0,0.0,0.0
"(3, 8)",0.0,0.0,0.0,0.54,0.0
"(3, 9)",0.0,0.0,-1.5,0.0,-1.2000000000000002
"(4, 4)",0.0,0.0,0.0,-0.6000000000000001,0.0
"(4, 5)",-0.30000000000000004,0.0,0.6000000000000001,0.0,-0.9
"(14, 3)",0.0,-0.6000000000000001,-0.6000000000000001,0.0,-1.146
"(14, 4)",0.0,-0.6000000000000001,0.0,-0.9,0.0
"(6, 4)",0.0,-0.02999999999999997,0.0,0.0,-0.8700000000000001
"(15, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,-1.5,0.0,0.0,0.0
"(2, 10)",0.0,0.0,0.0,0.0,0.6726000000000001
"(3, 10)",0.0,0.0,0.0,1.6260000000000001,1.2540000000000002
"(3, 11)",-2.8800000000000003,0.0,0.0,0.0,0.0
"(3, 12)",0.6000000000000001,0.0,0.0,0.0,0.0
"(3, 13)",0.0,0.9,0.0,0.0,0.0
"(4, 6)",0.0,0.0,0.30000000000000004,0.0,-1.2000000000000002
"(5, 4)",0.30000000000000004,0.0,0.0,1.3525080000000003,0.0
"(6, 5)",0.5923691891778301,-0.30000000000000004,-0.42829550621698464,0.0,0.0
"(1, 15)",0.0,0.654,0.0,0.0,-0.6000000000000001
"(3, 14)",0.0,0.0,0.0,0.0,0.0
"(3, 15)",0.0,0.0,0.0,0.0,0.0
"(3, 16)",0.6000000000000001,0.0,0.0,0.0,-0.30000000000000004
"(9, 2)",0.0,0.0,0.6000000000000001,0.0,0.0
"(6, 6)",-0.54,0.6272700000000001,-0.88911190462023,0.0,-1.032783
"(7, 4)",0.54,0.0,-0.546,0.0,0.0
"(7, 5)",0.0,0.0,0.30000000000000004,0.0,0.0
"(16, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,1.2000000000000002,0.0,0.0
"(2, 11)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(3, 17)",0.0,0.0,-1.08,0.0,0.0
"(3, 18)",0.0,0.0,0.0,0.0,0.6000000000000001
