step[0]
	0 0 0 0 0 0 0 0
step[10]
	0 0 0 0 -13.6 13.6 0 0
step[20]
	0 0 0 0 -13.6 13.6 0 0
step[30]
	0 0 0 0 0.0 0.0 0 0
step[40]
	0 -5 0 0 -11.9 13.6 0 0
step[50]
	0 0 0 -10 -13.6 10.2 0 0
step[60]
	0 0 0 0 0.0 0.0 0 0
step[70]
	5 0 0 0 -10.2 8.5 5 0
step[80]
	0 0 0 0 -6.8 6.8 0 0
step[90]
	0 -5 0 0 -5.1 3.4 5 0
step[100]
	5 0 10 0 -3.4 5.1 5 0
step[110]
	0 0 0 0 -3.4 3.4 0 0
step[120]
	0 -5 10 0 -1.7 3.4 0 0
step[130]
	0 0 0 0 -3.4 3.4 0 0
step[140]
	5 0 0 0 -3.4 1.7 0 0
step[150]
	0 0 0 0 0.0 0.0 0 0
step[160]
	0 0 0 0 -3.4 3.4 0 0
step[170]
	0 0 0 0 -3.4 3.4 0 0
step[180]
	0 0 0 0 -3.4 3.4 0 0
step[190]
	0 0 0 0 0.0 0.0 0 0
step[200]
	0 -5 10 0 -1.7 3.4 0 0
step[202]
	0 0 0 0 0 0 0 0
step[212]
	0 0 0 0 -13.6 0.0 0 0
step[222]
	0 0 0 0 -3.4 3.4 0 0
step[232]
	0 0 0 0 -10.2 10.2 0 0
step[242]
	0 -5 0 0 -11.9 6.8 0 0
step[252]
	0 0 0 0 -6.8 3.4 0 0
step[262]
	0 0 0 0 -6.8 6.8 0 0
step[272]
	0 0 0 0 -13.6 3.4 0 0
step[282]
	5 0 0 0 -6.8 5.1 5 0
step[292]
	0 0 10 0 -3.4 10.2 0 0
step[302]
	5 0 0 0 -10.2 1.7 5 0
step[312]
	0 -5 10 0 -5.1 6.8 5 0
step[322]
	0 0 10 0 0.0 3.4 0 0
step[332]
	0 0 0 0 -3.4 3.4 0 0
step[342]
	0 0 10 0 -3.4 6.8 0 0
step[352]
	0 0 10 0 0.0 3.4 0 0
step[362]
	0 -5 0 0 -1.7 0.0 0 0
step[372]
	5 0 10 0 0.0 1.7 0 0
step[382]
	0 0 0 0 0.0 0.0 0 0
step[392]
	0 0 0 0 0.0 0.0 0 0
step[402]
	0 0 0 0 0.0 0.0 0 0
step[412]
	0 0 0 0 0.0 0.0 0 0
step[422]
	0 0 0 0 0.0 0.0 0 0
step[432]
	0 0 0 0 0.0 0.0 0 0
step[442]
	0 0 0 0 0.0 0.0 0 0
step[452]
	0 -5 10 0 -1.7 3.4 0 0
step[454]
	0 0 0 0 0 0 0 0
step[464]
	0 0 0 0 -13.6 13.6 0 0
step[474]
	0 0 0 0 -6.8 6.8 0 0
step[484]
	0 0 0 0 -10.2 6.8 0 0
step[494]
	0 -5 0 0 -8.5 0.0 0 0
step[504]
	0 0 0 0 -10.2 0.0 10 0
step[514]
	0 0 0 0 -6.8 0.0 5 0
step[524]
	0 0 0 0 -10.2 6.8 0 0
step[534]
	0 -5 0 0 -8.5 3.4 0 0
step[544]
	0 0 0 0 -6.8 0.0 10 0
step[554]
	0 0 0 0 -6.8 0.0 0 0
step[564]
	0 -5 10 0 -5.1 6.8 5 0
step[574]
	0 0 0 0 0.0 0.0 0 0
step[584]
	0 0 0 0 -6.8 3.4 0 0
step[594]
