,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(1, 1)",-1.5585222922740003,-1.4103234,-2.24720106,0.1016766,1.1326322567485183
"(1, 2)",0.0,-1.8,0.51,-1.13736,-1.02
"(1, 3)",0.0,0.0,-0.5736,0.0,0.0
"(2, 1)",-1.7400000000000002,0.6000000000000001,1.2600000000000002,-0.546,0.0
"(2, 2)",0.0,0.0,0.4800000000000001,0.6000000000000001,0.0
"(2, 3)",0.0,0.0,0.0,0.0,-0.6000000000000001
"(3, 1)",-0.6000000000000001,0.0,0.0,1.2000000000000002,0.0
"(3, 2)",-0.05999999999999994,0.0,0.0,0.6000000000000001,0.0
"(3, 3)",-0.6000000000000001,0.6270000000000001,-0.6000000000000001,0.0,-0.27
"(4, 1)",0.8247763760520002,0.0,-0.8572964168699999,0.0,0.0
"(5, 1)",0.010826999839223656,0.6042646346348562,0.14007346097508153,-0.5284415500025171,-0.4627941616378204
"(5, 2)",0.05274631385595266,0.8274631385595266,-0.49552831752964266,0.34068038700000003,0.3840601349794234
"(6, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,-1.8,0.0,0.0,2.72253
"(1, 5)",-1.2000000000000002,0.0,0.0,0.0,1.2000000000000002
"(1, 6)",0.0,0.0,-1.8,0.0,0.0
"(2, 4)",0.0,-0.30000000000000004,0.0,0.0,-1.8
"(7, 1)",0.0,-1.3800000000000001,0.0,0.0,0.0
"(8, 1)",0.0,0.0,0.0,0.0,-1.1400000000000001
"(8, 2)",-0.6000000000000001,-0.9,0.0,-0.9,0.0
"(9, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,4.0089894,0.0,0.0,0.0
"(10, 1)",0.0,-1.716,-0.9,-1.5,0.0
"(2, 5)",0.0,0.0,0.6000000000000001,0.0,0.0
"(2, 6)",-1.5,0.0,0.0,0.0,0.0
"(7, 2)",0.0,0.6000000000000001,0.0,0.0,0.6000000000000001
"(7, 3)",0.0,-0.4800000000000001,0.0,0.0,0.0
"(7, 4)",0.0,0.6000000000000001,0.0,0.0,-1.2000000000000002
"(7, 5)",0.6000000000000001,0.0,0.0,0.0,0.0
"(11, 1)",0.0,0.4104102600000001,0.0,0.0,0.0
"(11, 2)",0.0,0.03623400000000001,0.1826000162761796,0.04758955740000001,0.0
"(11, 3)",-0.30000000000000004,0.0,0.0,-0.24453536726120417,0.0
"(1, 8)",-0.6000000000000001,0.0,-0.8127000000000002,0.0,0.0
"(10, 2)",0.0,0.0,0.6000000000000001,0.0,0.0
"(10, 3)",0.0,0.0,0.0,0.0,0.0
"(10, 4)",0.0,0.6000000000000001,0.0,0.0,0.0
"(10, 5)",0.0,0.0,-1.5,0.0,0.0
"(2, 7)",0.0,0.0,0.0,0.648,0.0
"(7, 6)",0.0,0.0,0.0,0.0,0.0
"(4, 2)",-0.6000000000000001,0.29700000000000004,0.27,0.0,0.0
"(5, 3)",0.0,0.05400000000000002,0.6000000000000001,0.0,-0.6000000000000001
"(5, 4)",1.0746,0.0,-0.546,-0.49794,-0.6000000000000001
"(5, 5)",-0.30000000000000004,0.30000000000000004,0.0,0.0,-0.30000000000000004
"(12, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 9)",1.9296,0.0,0.0,0.0,0.0
"(2, 8)",0.0,0.10800000000000004,0.0,0.0,0.0
"(2, 9)",1.572,0.0,0.0,0.0,0.0
"(2, 10)",-1.1352,0.0,0.0,0.0,0.30000000000000004
"(3, 4)",-0.30000000000000004,0.0,0.0,0.0,0.0
"(4, 3)",-0.6000000000000001,0.5392752656166001,-0.6000000000000001,0.0,-0.5375700000000001
"(4, 4)",-0.5007172919280001,0.0,0.0,0.0,0.0
"(4, 5)",0.0,-0.5679068289496055,-0.30000000000000004,0.0,-0.9
"(13, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.8700000000000001
"(10, 6)",0.6000000000000001,0.0,0.0,0.0,0.0
"(10, 7)",0.0,-0.9,0.0,0.0,0.0
"(2, 11)",1.2000000000000002,-1.2000000000000002,0.0,0.0,0.0
"(2, 12)",0.0,0.0,-1.5,0.0,0.0
"(14, 1)",-0.30000000000000004,0.0,0.0,-0.6000000000000001,-0.6000000000000001
"(3, 5)",0.0,0.0,0.0,0.0,0.0
"(3, 6)",0.0,0.8400000000000001,0.0,0.0,0.0
"(4, 6)",0.0,0.0,-0.573,0.0,0.0
"(1, 11)",0.9,0.0,-1.119,0.6000000000000001,0.0
"(2, 13)",0.0,0.0,0.0,0.0,0.0
"(2, 14)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(7, 7)",0.0,0.0,0.0,0.0,0.30000000000000004
"(3, 7)",0.05400000000000002,0.0,0.0,0.5940000000000001,1.200238383
"(3, 8)",0.0,0.029383830000000007,-0.00574617000000005,0.0,0.0
"(1, 12)",-2.1,0.30000000000000004,0.0,0.0,0.0
"(15, 1)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(15, 2)",0.0,1.5,0.0,0.0,0.0
"(2, 15)",0.0,0.0,-1.2000000000000002,0.0,0.0
"(2, 16)",0.0,0.0,0.30000000000000004,0.0,0.0
"(7, 8)",0.0,1.2000000000000002,0.0,-0.6000000000000001,0.0
"(7, 9)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(7, 10)",0.0,0.0,0.6213000000000001,0.0,0.0
"(3, 9)",0.02700000000000001,0.0,-0.6000000000000001,-1.2000000000000002,0.0
"(3, 10)",0.0,0.30000000000000004,0.0,0.0,0.30000000000000004
"(15, 3)",-2.4000000000000004,0.0,0.0,0.0,0.0
"(15, 4)",0.0,0.0,0.0,1.2000000000000002,0.0
"(15, 5)",0.0,0.0,0.0,0.0,-0.9
"(2, 17)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(7, 11)",0.0,-0.6000000000000001,0.0,0.0,0.6000000000000001
"(7, 12)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(3, 11)",0.0,0.0,0.0,0.0,1.1400000000000001
"(3, 12)",0.0,0.0,0.0,-0.30000000000000004,0.0
"(1, 13)",0.30000000000000004,1.2000000000000002,0.0,0.0,-0.30000000000000004
"(10, 8)",0.0,0.0,0.0,0.0,0.6000000000000001
"(10, 9)",0.0,0.0,0.0,0.0,-0.9
"(2, 18)",-0.6000000000000001,-0.59028,0.0,0.0,0.0
"(2, 19)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(7, 13)",0.0,0.0,0.0,0.11999999999999988,0.0
"(7, 14)",0.0,-0.30000000000000004,0.0,0.0,0.0
"(8, 3)",0.0,0.0,0.0,0.0,-0.846
"(1, 14)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(15, 6)",0.0,-0.6000000000000001,0.0,0.0,0.0
"(15, 7)",0.0,0.0,-0.30000000000000004,0.0,0.0
"(16, 1)",0.0,0.0,-1.8,0.0,-1.8
"(16, 2)",0.0,0.0,0.0,0.0,-0.96
